id;title;description;google_product_category;link;image_link;additional_image_link;availability;price;sale_price;brand
r2u_prd2172;[청소신] 과일세정제 (칼슘파우더);농약과 기생충 걱정은 NO! 과일세정제로 한층 싱그러워지는 과일을 드셔보세요!;436;https://st1.random2u.com/api/product/info/2172;https://st1.random2u.com/uploads/2020/10/08/10/19/db07e9035c60ceb72604c0e7fa2b30f0.jpg;;in stock;16900;5000;제이에스벤처스
r2u_prd2173;[청소신] 이염방지티슈;여러가지 옷가지와 빨래할 때, 이염티슈 하나로 색 번짐 방지하세요;436;https://st1.random2u.com/api/product/info/2173;https://st1.random2u.com/uploads/2020/10/08/10/24/697b1b7b1973fb81a69f3de7398f3be1.jpg;;in stock;12900;5000;제이에스벤처스
r2u_prd2174;[오희숙전통부각] 찹쌀김부각 30g 3봉;입이 심심 할 때 부담없이 먹을 수 있어요;412;https://st1.random2u.com/api/product/info/2174;https://st1.random2u.com/uploads/2020/10/05/18/58/906650146b79e789214c363322c5a650.jpg;;in stock;8400;5000;하늘바이오
r2u_prd2175;[오희숙전통부각] 찹쌀감자부각 25g 3봉;두께감 있는 감자의 식감이 포만감과 씹는 즐거움을 선사해요;412;https://st1.random2u.com/api/product/info/2175;https://st1.random2u.com/uploads/2020/10/05/18/22/020d773de121239eafa61c229c3f8e32.jpg;;in stock;7000;5000;하늘바이오
r2u_prd2176;[오희숙전통부각] 바삭한 황태껍질 튀각 35g 3봉;맥주와 찰떡궁합! 집에 쟁여놓고 싶은 간식이에요;412;https://st1.random2u.com/api/product/info/2176;https://st1.random2u.com/uploads/2020/10/05/18/13/972af48c762bf8a1bc2b1d3de754593f.jpg;;in stock;8400;5000;하늘바이오
r2u_prd2177;[이레프] 톤업 올인원 에센스 포맨;이거 하나면 외출 준비 끝!;166;https://st1.random2u.com/api/product/info/2177;https://st1.random2u.com/uploads/2020/09/24/18/48/df8815f52eeebc13c60ec47e6e96171b.jpg;;in stock;25000;5000;
r2u_prd2180;[GANSO] 핸디 스팀 다리미;심플하고 예쁜 간소 스팀다리미;604;https://st1.random2u.com/api/product/info/2180;https://st1.random2u.com/uploads/2020/10/08/11/34/15a2330ef9013641e9bbca2f89bd1f89.jpg;;in stock;49800;5000;브로스앤컴퍼니
r2u_prd2181;[요이치] 체지방 블루투스 인바디 체중계;집에서 인바디하고 근손실 막자;604;https://st1.random2u.com/api/product/info/2181;https://st1.random2u.com/uploads/2020/10/22/15/01/ce7b1d2b3696cd6cb7b93cdadbb4ff09.jpg;;in stock;24800;5000;요이치
r2u_prd2189;[LG전자] 스마트 인버터 전자레인지 22L MW22ED;사용자에게 편리하게 설계된 인버터 전자레인지;604;https://st1.random2u.com/api/product/info/2189;https://st1.random2u.com/uploads/2020/10/01/15/52/8bf0c8e40b5b999630ca31960b5749ac.jpg;;in stock;149000;5000;LG전자
r2u_prd2191;[LG전자] 코드제로 M9 로봇 청소기 (아이언그레이);코드제로 덕분에 바닥이 깔끔해졌어요;604;https://st1.random2u.com/api/product/info/2191;https://st1.random2u.com/uploads/product/21-03-16/82068e85c00669ca42145e2fc47457db.jpg;;in stock;699000;5000;LG전자
r2u_prd2192;[LG전자] 코드제로 M9 로봇 청소기 (판타지실버);물걸레해주는 로봇청소기;604;https://st1.random2u.com/api/product/info/2192;https://st1.random2u.com/uploads/product/21-03-16/4ddb97d156c51e1e1b7914c1c9633581.jpg;;in stock;699000;5000;LG전자
r2u_prd2196;[LG전자] 오브제 오디오 AL7;고품질 사운드에 감동하는 내 달팽이관;604;https://st1.random2u.com/api/product/info/2196;https://st1.random2u.com/uploads/2020/09/28/20/11/b782591a74bab2a56ef723bf223769bf.jpg;;in stock;1490000;5000;LG전자
r2u_prd2197;[LG전자] LG 퓨리케어 공기청정기 AS120VSKA;LG전자가 지켜주는 우리집 공기질;604;https://st1.random2u.com/api/product/info/2197;https://st1.random2u.com/uploads/2020/09/28/19/45/bac5842b157d2d9ccf4845f046c5f842.jpg;;in stock;349000;5000;LG전자
r2u_prd2204;[오희숙전통부각] 찹쌀고추부각 30g 3봉;매콤한 맛이 느껴져서 질리지 않는 찹쌀고추부각입니다.;412;https://st1.random2u.com/api/product/info/2204;https://st1.random2u.com/uploads/2020/10/12/15/53/ba3946be4774bb064621da15b55bb576.jpg;;in stock;8400;5000;하늘바이오
